yago,"http://yago-knowledge.org/resource/"
rdf,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
foaf,"http://xmlns.com/foaf/0.1/"
dbo,"http://dbpedia.org/ontology/"
dbp,"http://dbpedia.org/property/"
dc,"http://purl.org/dc/elements/1.1/"
owl,"http://www.w3.org/2002/07/owl#"
rdfs,"http://www.w3.org/2000/01/rdf-schema#"
ont,"http://purl.org/net/ns/ontology-annot#"
skos,"http://www.w3.org/2004/02/skos/core#"
geo,"http://www.w3.org/2003/01/geo/wgs84_pos#"
onto,"http://www.ontotext.com/"
rss,"http://purl.org/rss/1.0/"
gldp,"http://www.w3.org/ns/people#"
sioc,"http://rdfs.org/sioc/ns#"
fb,"http://rdf.freebase.com/ns/"
geonames,"http://www.geonames.org/ontology#"
sc,"http://purl.org/science/owl/sciencecommons/"
xsd,"http://www.w3.org/2001/XMLSchema#"
org,"http://www.w3.org/ns/org#"
gr,"http://purl.org/goodrelations/v1#"
qb,"http://purl.org/linked-data/cube#"
dcterms,"http://purl.org/dc/terms/"
commerce,"http://search.yahoo.com/searchmonkey/commerce/"
bibo,"http://purl.org/ontology/bibo/"
dct,"http://purl.org/dc/terms/"
prov,"http://www.w3.org/ns/prov#"
md,"http://www.w3.org/ns/md#"
dbpedia,"http://dbpedia.org/resource/"
sd,"http://www.w3.org/ns/sparql-service-description#"
dbpprop,"http://dbpedia.org/property/"
akt,"http://www.aktors.org/ontology/portal#"
void,"http://rdfs.org/ns/void#"
dcat,"http://www.w3.org/ns/dcat#"
swrc,"http://swrc.ontoware.org/ontology#"
vann,"http://purl.org/vocab/vann/"
pto,"http://www.productontology.org/id/"
vcard,"http://www.w3.org/2006/vcard/ns#"
dcmit,"http://purl.org/dc/dcmitype/"
content,"http://yousuck.ca/"
doap,"http://usefulinc.com/ns/doap#"
ex,"http://example.org/"
cyc,"http://sw.opencyc.org/concept/"
xhtml,"http://www.w3.org/1999/xhtml#"
aiiso,"http://purl.org/vocab/aiiso/schema#"
http,"http://www.w3.org/2011/http#"
wot,"http://xmlns.com/wot/0.1/"
cc,"http://creativecommons.org/ns#"
dc11,"http://purl.org/dc/elements/1.1/"
nie,"http://www.semanticdesktop.org/ontologies/2007/01/19/nie#"
gen,"http://www.w3.org/2006/gen/ont#"
mo,"http://purl.org/ontology/mo/"
bill,"http://www.rdfabout.com/rdf/schema/usbill/"
rel,"http://purl.org/vocab/relationship/"
test2,"http://this.invalid/test2#"
d2rq,"http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#"
event,"http://purl.org/NET/c4dm/event.owl#"
bio,"http://purl.org/vocab/bio/0.1/"
ad,"http://schemas.talis.com/2005/address/schema#"
cv,"http://rdfs.org/resume-rdf/"
rr,"http://www.w3.org/ns/r2rml#"
ical,"http://www.w3.org/2002/12/cal/ical#"
earl,"http://www.w3.org/ns/earl#"
admin,"http://webns.net/mvcb/"
swc,"http://data.semanticweb.org/ns/swc/ontology#"
og,"http://opengraphprotocol.org/schema/"
factbook,"http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#"
air,"http://dig.csail.mit.edu/TAMI/2007/amord/air#"
